radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,2,2019,8424,0,38.144094,-2.662125,1586,11,1,1355086845,1470733217,0,MAKUENI,Kibwezi East  Sub County,Mtito Andei Ward
GSM,639,2,2019,8601,0,38.048675,-2.5662,9361,20,1,1355104503,1490328026,0,MAKUENI,Kibwezi East  Sub County,Ivingoni/Nzambani Ward
GSM,639,2,2019,11655,0,38.067856,-2.605133,1000,6,1,1355104748,1450320029,0,MAKUENI,Kibwezi East  Sub County,Ivingoni/Nzambani Ward
GSM,639,2,2019,11694,0,37.944717,-2.419445,3855,7,1,1355105956,1486632459,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,2020,8481,0,37.826614379883,-2.2885894775391,1000,1,1,1355107455,1355087629,0,MAKUENI,Kibwezi West  Sub County,Makindu Ward
GSM,639,2,107,64281,0,37.724533,-2.213386,11847,21,1,1355108321,1364806014,0,MAKUENI,Kibwezi West  Sub County,Makindu Ward
GSM,639,2,107,64295,0,37.500046,-2.09935,6478,5,1,1355116643,1363050527,0,KAJIADO,Kajiado East Sub County,Kenyawa-poka Ward
GSM,639,2,107,18184,0,37.465435,-2.075732,30271,7,1,1355116909,1378257319,0,MAKUENI,Kibwezi West  Sub County,Emali/Mulala Ward
GSM,639,2,107,18372,0,37.323989868164,-1.9713592529297,1000,1,1,1355118014,1355097889,0,MAKUENI,Kilome Sub County,Kasikeu Ward
GSM,639,2,2061,18141,0,37.271461,-1.889763,7593,12,1,1355118023,1364525956,0,MAKUENI,Kilome Sub County,Kiima Kiu/Kalanzoni Ward
GSM,639,2,2061,64942,0,37.262924,-1.871658,2695,15,1,1355118280,1364798835,0,MAKUENI,Kilome Sub County,Kiima Kiu/Kalanzoni Ward
GSM,639,2,2061,18140,0,37.256012,-1.84845,1000,4,1,1355120628,1364798792,0,MAKUENI,Kilome Sub County,Kiima Kiu/Kalanzoni Ward
GSM,639,2,2061,18190,0,37.195358,-1.693497,3572,3,1,1355122027,1358455305,0,Machakos,Machakos Sub County,Kalama Ward
GSM,639,2,108,18061,0,37.185745,-1.660538,8552,6,1,1355122219,1407143105,0,Machakos,Machakos Sub County,Kalama Ward
GSM,639,2,108,9685,0,37.207948,-1.548386,6784,2,1,1355122629,1435226213,0,Machakos,Machakos Sub County,Mua Ward
GSM,639,2,4001,12361,0,37.040252,-1.475678,6577,18,1,1355124331,1477187976,0,Machakos,Athi River Sub County,Kinanie Ward
GSM,639,2,4001,14236,0,36.985302,-1.442814,1000,8,1,1355125349,1483525300,0,Machakos,Athi River Sub County,Athi River Ward
GSM,639,2,4000,12506,0,36.936569,-1.389084,1000,9,1,1355126346,1486599248,0,Machakos,Athi River Sub County,Syokimau-mulolongo Ward
GSM,639,2,4000,12595,0,36.935349,-1.387196,1000,16,1,1355126879,1486599248,0,Machakos,Athi River Sub County,Syokimau-mulolongo Ward
GSM,639,2,4065,3741,0,36.906509,-1.356949,1860,5,1,1355127552,1361504210,0,Nairobi,Langata  Sub County,South C Ward
GSM,639,2,4065,8560,0,36.900101,-1.327591,1779,9,1,1355128652,1364793272,0,Nairobi,Embakasi South Sub County,Pipeline Ward
GSM,639,2,25,1184,0,36.917495727539,-1.3121795654297,1000,1,1,1355146433,1355126562,0,Nairobi,Embakasi East Sub County,Embakasi Ward
GSM,639,2,4065,1120,0,36.889245,-1.330817,1000,7,1,1355147136,1361193658,0,Nairobi,Embakasi South Sub County,Imara Daima Ward
GSM,639,2,26,125,0,36.858444,-1.314468,1000,3,1,1355148074,1363851391,0,Nairobi,Makadara  Sub County,Viwandani Ward
GSM,639,2,27,3684,0,36.873688,-1.306137,1000,10,1,1355154684,1362745250,0,Nairobi,Makadara  Sub County,Viwandani Ward
GSM,639,2,4065,1126,0,36.89415,-1.337585,1458,2,1,1355164435,1362039005,0,Nairobi,Langata  Sub County,South C Ward
